field,display_name,browse_link,external_link
title,Title,,
date,Date,,
type,Type,,
organisation,Organisation,,
district,District,,
country,Country,,
group_no,Group Number,,
reg_no,Regiment Number,,
badge_type,Badge Type,,
badge_tier,Badge Tier,,
document_type,Document Type,,
description,Description,,
subject,Subjects,true,,
era,Era,,
date_founded,Founded,,
date_closed,Closed,,
location,Location,,
scarf_colour,Scarf Colour,,
rights,Rights,,
